Category,Category Status,Question,Question Status,Answer,Last Modified Date,Web Address,Display Text
Clerk - Marriage Licenses,Published,How much does it cost to apply for a marriage license?,Published,"<p>$20 for Van Buren County residents, and $30 for out-of state residents.</p>",01/09/2021 10:43:46,,
Clerk - Marriage Licenses,Published,How long does it take to get a marriage license in Michigan?,Published,"<p>The license can be taken with you on the day that you apply however, it cannot be used until three days after the date you made application.</p>",01/09/2021 10:43:56,,
Clerk - Marriage Licenses,Published,Do both people have to come to apply for the marriage license?,Published,"<p>No. If only one applicant is present, however, please be sure to bring all the required information for the other person. That information includes:</p><ul><li>Birth Date</li><li>Birth Place (city, state)</li><li>Certified copy of Birth Certificate for each party</li><li>County of residence</li><li>Father&rsquo;s full name (first, middle, last)</li><li>Full name (first, middle, last)</li><li>How many times married</li><li>Mother&rsquo;s full name (first, middle, maiden)</li><li>Photocopy of Driver&rsquo;s License or State ID</li><li>Social Security Number</li><li>State of birth for both parents</li></ul>",01/09/2021 10:44:27,,
Clerk - Marriage Licenses,Published,How do I know what county to get my marriage license in?,Published,"<p>The answer depends on whether or not you are a Michigan resident. If you are, you need to get your license in the county in which either you or your future spouse reside. The license can then be used anywhere in the state. If you are not a Michigan resident, you must obtain your license in the county where you will be married.</p>",01/09/2021 10:44:37,,
Clerk - Marriage Licenses,Published,Must witnesses to marriages be 18 years old?,Published,"<p>Yes, witnesses are required to be 18 years of age or older.</p>",01/09/2021 10:44:45,,
Clerk - Marriage Licenses,Published,Does the County Clerk perform wedding ceremonies?,Draft,<p>Yes. Wedding ceremonies are performed in the County Clerks Office on Friday afternoons by appointment only. The fee is $25 and the Clerk does not perform weddings outside of the office.</p>,04/28/2023 17:20:05,,
Clerk - Certified Copies,Published,How much does it cost to get a copy of a birth certificate?,Published,"<p>All certified copies (birth, death or marriage certificates) are $15 for the first copy and $5 for each additional copy of the same record purchased at the same time.</p>",04/28/2023 17:18:59,,
Clerk - Certified Copies,Published,"I live far away, how can I get a copy of my birth certificate? Do I have to come in person?",Published,<p>Requests may be made by mail by completing the forms that can be printed. You are required to send a copy of your driver&rsquo;s license or state identification card with your request.</p>,01/09/2021 10:45:30,,
Clerk - Certified Copies,Published,Can you obtain certified copies of marriage licenses or death certificates by mail?,Published,<p>Request can be made by mail by printing the on-line forms and mailing them to the <a href=&#34/Directory.aspx?DID=34&#34>Clerk&rsquo;s office</a> with the proper fees.</p>,01/21/2021 13:00:43,,
Clerk - Certified Copies,Published,How long does it take to get a copy of a birth certificate or other document?,Published,<p>Requests made in person can be obtained generally within a few minutes at the Clerk&rsquo;s office. Mail requests are generally filled within a day of receipt at Clerk&rsquo;s office.</p>,01/09/2021 10:46:14,,
Clerk - Certified Copies,Published,"Can I get a copy of someone else’s birth, death, or marriage certificate?",Published,"<p>Birth records are confidential and are available only to the person or parents of the person named in the record. If you are an heir, legal guardian, or legal representative of the person whose birth certificate you are requesting, additional documentation is required. Contact this office at 269-657-8218, option 6. Death and marriage certificates are public records and available upon request.</p>",01/09/2021 10:46:27,,
Clerk - Business Names,Published,Why do I have to register my business name with the county?,Published,"<p>Michigan law requires that persons who own, conduct or transact business in a county, register the business name in that county as a matter of public record.</p>",01/09/2021 10:46:44,,
Clerk - Business Names,Published,My business has been incorporated with the state. Do I also have to file with the county?,Published,"<p>No. Corporations, limited partnerships, limited liability companies, and non-profit organizations owned by corporations do not file at the county level.</p>",01/09/2021 10:46:51,,
Clerk - Business Names,Published,How much does it cost to file my business name?,Published,"<p>The filing fee is $10, and the certificate is required to be renewed every five years. The certificate must be notarized prior to filing.</p>",01/09/2021 10:46:58,,
Clerk - Business Names,Published,"I have a &#34doing business as&#34 (DBA) in another county and want to do business in Van Buren County, do I have to file a DBA there?",Published,"<p>You are required to file a <abbr>DBA</abbr> in the county where the business is located, and you may also file in Van Buren County. We will request to see and make a copy of the <abbr>DBA</abbr> filed in the home county.</p>",01/09/2021 10:47:39,,
Clerk - Passports,Published,Where can I apply for a passport in Van Buren County?,Published,"<p>You can apply for a passport at the Van Buren County Treasurers Office in the Administration Building:</p><ul><li>219 Paw Paw Street<br>1st floor<br>Paw Paw, MI 49079</li><li>PHONE: <a href=&#34tel:2696578228&#34>269-657-8228</a></li></ul><p><strong>Passport Hours</strong>:</p><ul><li style=&#34box-sizing: border-box; margin-bottom: 0.35em; border: 0px none; font-style: normal;&#34 id=&#34isPasted&#34>Mondays: closed</li><li style=&#34box-sizing: border-box; margin-bottom: 0.35em; border: 0px none; font-style: normal;&#34>Tuesdays: 9:00 -12:00, 1:00-4:00</li><li style=&#34box-sizing: border-box; margin-bottom: 0.35em; border: 0px none; font-style: normal;&#34>Wednesdays: 9:00 -12:00, 1:00-4:00</li><li style=&#34box-sizing: border-box; margin-bottom: 0.35em; border: 0px none; font-style: normal;&#34>Thursdays: 9:00 -12:00, 1:00-4:00</li><li style=&#34box-sizing: border-box; margin-bottom: 0.35em; border: 0px none; font-style: normal;&#34>Fridays: closed</li></ul><p>Passport photos can also be taken there.</p>",01/06/2025 14:18:44,,
